ID	DOCULECT	CONCEPT	FORM	TOKENS	ATTESTED	ANCESTOR	RELATION	PROCESS	COGID	ROOT	STEM	ALIGNMENT	WORD_CLASS	INFLECTION_CLASS	CASE	GENDER	QUESTIONMARK	SQUAREBRACKET	UNSURE	NOTES
167	Old Indic	das Leuchten, Erscheinung	bhā́nam	bʱ ˈaː n ɐ m	1	166	inflection	n.sg.	28	bʰeh₂	0	bʱ ˈaː - n ɐ m	substantive		n.sg.	neuter				
168	Germanic	?	bōna-	β ɔː n a	0	164	inheritance	inheritance	0	bʰeh₂	1		substantive			neuter				
169	Germanic	?	bōnan	β ɔː n a n	0	168	inflection	n.sg.	28	bʰeh₂	0	β ɔː - n a n	substantive		n.sg.	neuter				could also be not neuter
170	Indo-European	?	bʰh₂-to-	bʱ χ t ɔ	0	99	derivation	zero-grade, suffix: t ɔ	0	bʰeh₂	1						?		?	
171	Indo-European	?	bʰh₂tos	bʱ χ t ɔ s	0	170	inflection	n.sg.	29	bʰeh₂	0	bʱ χ t ɔ s			n.sg.		?		?	
172	Greek	?	-φατο-	pʰ a t ɔ	0	170	inheritance	inheritance	0	bʰeh₂	1									
173	Greek	?	φατος	pʰ a t ɔ s	0	172	inflection	n.sg.	29	bʰeh₂	0	pʰ a t ɔ s			n.sg.					
174	Greek	dargelegt, berühmt	πρόφατο-	p ɾ ˈɔ pʰ a t ɔ	0	172	prefixation	prefix: p ɾ ˈɔ	0	bʰeh₂	1		adjective							
175	Greek	dargelegt, berühmt	πρόφατος	p ɾ ˈɔ pʰ a t ɔ s	1	174	inflection	n.sg.masculine	0	bʰeh₂	0	p ɾ ˈɔ pʰ a t ɔ s	adjective		n.sg.	masculine				
176	Greek	unaussprechlich	ὑπέρφατο-	h ʏ p ˈɛ ɾ pʰ a t ɔ	0	172	prefixation	prefix: h ʏ p ˈɛ ɾ	0	bʰeh₂	1		adjective							
177	Greek	unaussprechlich	ὑπέρφατος	h ʏ p ˈɛ ɾ pʰ a t ɔ s	1	176	inflection	n.sg.masculine	0	bʰeh₂	0	h ʏ p ˈɛ ɾ pʰ a t ɔ s	adjective		n.sg.	masculine				
178	Indo-European	?	bʰah₂-to-	bʱ a χ t ɔ	0	99	suffixation	suffix: t ɔ	0	bʰeh₂	1		adjective							
179	Indo-European	?	bʰah₂tos	bʱ a χ t ɔ s	0	178	inflection	n.sg.masculine	30	bʰeh₂	0	bʱ a χ t ɔ s	adjective		n.sg.	masculine				
180	Old Indic	leuchtend, scheinend	bhāta-	bʱ aː t ɐ	0	178	inheritance	inheritance	0	bʰeh₂	1		adjective							
181	Old Indic	leuchtend, scheinend	bhātaḥ	bʱ aː t ɐ h	1	180	inflection	n.sg.masculine	30	bʰeh₂	0	bʱ aː - t ɐ h	adjective		n.sg.	masculine				
182	Indo-European	spalten	bʰei̯d-	bʱ ɛi̯ d	0				0	bʰei̯d	1		root							
183	Indo-European	?	bʰid-	bʱ i d	0	182	derivation	zero-grade	0	bʰei̯d	1		substantive			feminine				
184	Indo-European	?	bʰids	bʱ i d s	0	183	inflection	n.sg.	31	bʰei̯d	0	bʱ i d s	substantive		n.sg.	feminine				
185	Vedic	Spaltung, Spalte	bhíd-	bʱ ˈi d	0	183	inheritance	inheritance	0	bʰei̯d	1		substantive			feminine				
186	Vedic	Spaltung, Spalte	bhít	bʱ ˈi t	1	185	inflection	n.sg.	31	bʰei̯d	0	bʱ ˈi t -	substantive		n.sg.	feminine				
187	Vedic	Befestigungen aufbrechend	pūr-bhíd-	p uː ɾ bʱ ˈi d	0	185	compound	compound2 with 0 p uː ɾ	0	bʰei̯d	1		adjective							
188	Vedic	Befestigungen aufbrechend	pūr-bhít	p uː ɾ bʱ ˈi t	1	187	inflection	n.sg.masculine	0	bʰei̯d	0	p uː ɾ bʱ ˈi t	adjective		n.sg.	masculine				
189	Indo-European	?	bʰid-o-	bʱ i d ɔ	0	182	derivation	zero-grade, suffix: ɔ	0	bʰei̯d	1						?		?	
190	Indo-European	?	bʰidos	bʱ i d ɔ s	0	189	inflection	n.sg.	32	bʰei̯d	0	bʱ i d ɔ s			n.sg.		?		?	
191	Latin	?	-fido-	f ɪ d ɔ	0	189	inheritance	inheritance	0	bʰei̯d	1									
192	Latin	?	-fidus	f ɪ d ʊ s	0	191	inflection	n.sg.	32	bʰei̯d	0	f ɪ d ʊ s			n.sg.					
193	Latin	in zwei Teile gespalten	bi-fido-	b ɪ f ɪ d ɔ	0	191	compound	compound2 with 0 b ɪ	0	bʰei̯d	1		adjective							
194	Latin	in zwei Teile gespalten	bifidus	b ɪ f ɪ d ʊ s	1	193	inflection	n.sg.masculine	0	bʰei̯d	0	b ɪ f ɪ d ʊ s	adjective		n.sg.	masculine				
195	Indo-European	?	bʰid-tér-	bʱ i d t ˈɛ ɾ	0	182	derivation	zero-grade, suffix: t ˈɛ ɾ	0	bʰei̯d	1		substantive			masculine				
196	Indo-European	?	bʰidtḗr	bʱ i d t ˈɛː ɾ	0	195	inflection	n.sg.	33	bʰei̯d	0	bʱ i d t ˈɛː ɾ	substantive		n.sg.	masculine				
197	Vedic	Zerbrecher	bhittár-	bʱ i tː ˈɐ ɾ	0	195	inheritance	inheritance	0	bʰei̯d	1		substantive			masculine		[	[	
198	Vedic	Zerbrecher	bhittā́	bʱ i tː ˈaː	0	197	inflection	n.sg.	33	bʰei̯d	0	bʱ i - tː ˈaː -	substantive		n.sg.	masculine		[	[	
199	Vedic	Zerbrecher	bhettár-	bʱ ɛː tː ˈɐ ɾ	0	197	analogy	analogy: ?	0	bʰei̯d	1		substantive			masculine		[	[	
200	Vedic	Zerbrecher	bhettā́	bʱ ɛː tː ˈaː	1	199	inflection	n.sg.	0	bʰei̯d	0	bʱ ɛː tː ˈaː	substantive		n.sg.	masculine		[	[	
201	Indo-European	?	bʰei̯d-oi̯-	bʱ ɛi̯ d ɔi̯	0	182	suffixation	suffix: ɔi̯	0	bʰei̯d	1		substantive			feminine	?		?	
202	Indo-European	?	bʰei̯doi̯	bʱ ɛi̯ d ɔi̯	0	201	inflection	n.sg.	34	bʰei̯d	0	bʱ ɛi̯ d ɔi̯	substantive		n.sg.	feminine	?		?	
203	Greek	Schonen, Sparen	φειδόι-	pʰ eː d ˈɔi̯	0	201	inheritance	inheritance	0	bʰei̯d	1		substantive			feminine				
204	Greek	Schonen, Sparen	φειδώ	pʰ eː d ˈɔː	1	203	inflection	n.sg.	34	bʰei̯d	0	pʰ eː d ˈɔː	substantive		n.sg.	feminine				
205	Indo-European	?	bʰid-ti-	bʱ i d t i	0	182	derivation	zero-grade, suffix: t i	0	bʰei̯d	1		substantive			feminine				
206	Indo-European	?	bʰidtis	bʱ i d t i s	0	205	inflection	n.sg.	35	bʰei̯d	0	bʱ i d t i s	substantive		n.sg.	feminine				
207	Vedic	Zerbrechen, Schilfmatte	bhitti-	bʱ i tː i	0	205	inheritance	inheritance	0	bʰei̯d	1		substantive			feminine				
208	Vedic	Zerbrechen, Schilfmatte	bhittiḥ	bʱ i tː i h	1	207	inflection	n.sg.	35	bʰei̯d	0	bʱ i - tː i h	substantive		n.sg.	feminine				
209	Vedic	Zerbrechen	ví-bhitti-	w ˈi bʱ i tː i	0	207	prefixation	prefix: w ˈi	0	bʰei̯d	1		substantive			feminine				
210	Vedic	Zerbrechen	víbhittiḥ	w ˈi bʱ i tː i h	1	209	inflection	n.sg.	0	bʰei̯d	0	w ˈi bʱ i tː i h	substantive		n.sg.	feminine				
211	Indo-European	?	bʰei̯d-tu-	bʱ ɛi̯ d t u	0	182	suffixation	suffix: t u	0	bʰei̯d	1		substantive							
212	Indo-European	?	bʰei̯dtum	bʱ ɛi̯ d t u m	0	211	inflection	n.sg.	149	bʰei̯d	0	bʱ ɛi̯ d t u m	substantive		n.sg.	neuter				
213	Vedic	spalten	bhid-	bʱ i d	0				0	bʰei̯d	1		verb							
214	Vedic	spalten	bhettum	bʱ ɛː tː u m	1	956	inflection	infinitive	0	bʰei̯d	0	bʱ ɛː tː u m	infinitive		n.sg.	neuter				
215	Indo-European	?	bʰei̯d-o-	bʱ ɛi̯ d ɔ	0	182	suffixation	suffix: ɔ	0	bʰei̯d	1									
216	Indo-European	?	bʰei̯dos	bʱ ɛi̯ d ɔ s	0	215	inflection	n.sg.	36	bʰei̯d	0	bʱ ɛi̯ d ɔ s			n.sg.					
217	Germanic	?	-beita-	β ɛi̯ t a	0	215	inheritance	inheritance	0	bʰei̯d	1									
218	Germanic	?	-beitaz	β ɛi̯ t a z	0	217	inflection	n.sg.	36	bʰei̯d	0	β ɛi̯ t a z			n.sg.					
219	Indo-European	?	bʰoi̯d-ó-	bʱ ɔi̯ d ˈɔ	0	182	derivation	o-grade, suffix: ˈɔ	0	bʰei̯d	1		substantive			masculine				
220	Indo-European	?	bʰoi̯dós	bʱ ɔi̯ d ˈɔ s	0	219	inflection	n.sg.	37	bʰei̯d	0	bʱ ɔi̯ d ˈɔ s	substantive		n.sg.	masculine				
221	Vedic	Schamlippe, Zerbrecher	bhedá-	bʱ ɛː d ˈɐ	0	219	inheritance	inheritance	0	bʰei̯d	1		substantive			masculine				
222	Vedic	Schamlippe, Zerbrecher	bhedáḥ	bʱ ɛː d ˈɐ h	1	221	inflection	n.sg.	37	bʰei̯d	0	bʱ ɛː d ˈɐ h	substantive		n.sg.	masculine				
223	Germanic	beißend	-baita-	β ai̯ t a	0	915	inheritance	inheritance	0	bʰei̯d	1		adjective							
224	Germanic	beißend	-baitaz	β ai̯ t a z	0	223	inflection	n.sg.masculine	38	bʰei̯d	0	β ai̯ t a z	adjective		n.sg.	masculine				
225	Indo-European	?	bʰoi̯d-ah₂-	bʱ ɔi̯ d a χ	0	182	derivation	o-grade, suffix: a χ	0	bʰei̯d	1		substantive							
226	Indo-European	?	bʰoi̯dah₂	bʱ ɔi̯ d a χ	0	225	inflection	n.sg.	39	bʰei̯d	0	bʱ ɔi̯ d a χ	substantive		n.sg.					
227	Germanic	?	baitō-	β ai̯ t ɔː	0	225	inheritance	inheritance	0	bʰei̯d	1		substantive							
228	Germanic	?	baitō	β ai̯ t ɔː	0	227	inflection	n.sg.	39	bʰei̯d	0	β ai̯ t ɔː -	substantive		n.sg.					
229	Indo-European	?	bʰid-nó-	bʱ i d n ˈɔ	0	182	derivation	zero-grade, suffix: n ˈɔ	0	bʰei̯d	1		adjective							
230	Indo-European	?	bʰidnós	bʱ i d n ˈɔ s	0	229	inflection	n.sg.masculine	40	bʰei̯d	0	bʱ i d n ˈɔ s	adjective		n.sg.	masculine				
231	Vedic	gespalten	bhinnáḥ	bʱ i nː ˈɐ h	0	938	inflection	n.sg.masculine	40	bʰei̯d	0	bʱ i - nː ˈɐ h			n.sg.	masculine				
232	Vedic	gespalten	bhinnáḥ	bʱ i nː ˈɐ h	1	939	inflection	ppp n.sg.masculine	0	bʰei̯d	0	bʱ i nː ˈɐ h	ppp		n.sg.	masculine				
233	Indo-European	?	bʰid-ró-	bʱ i d ɾ ˈɔ	0	182	derivation	zero-grade, suffix: ɾ ˈɔ	0	bʰei̯d	1		adjective							
234	Indo-European	?	bʰidrós	bʱ i d ɾ ˈɔ s	0	233	inflection	n.sg.masculine	41	bʰei̯d	0	bʱ i d - ɾ ˈɔ s	adjective		n.sg.	masculine				
235	Germanic	beißend	bitra-	β i t r a	0	233	inheritance	inheritance	0	bʰei̯d	1		adjective							
236	Germanic	beißend	bitraz	β i t r a z	0	235	inflection	n.sg.masculine	41	bʰei̯d	0	β i t - r a z	adjective		n.sg.	masculine				
237	Germanic	bitter	bitras	β i t r a s	0	235	inflection	g.sg.	42	bʰei̯d	0	β i t r a s	adjective		g.sg.	masculine				
238	Old High German	bitter	bizzar	b i sː a r	0	239	inflection	n.sg.masculine	41	bʰei̯d	0	b i sː a r - -	adjective		n.sg.	masculine				
239	Old High German	bitter	bittar-	b i tː a r	0	235	inheritance	inheritance	0	bʰei̯d	1		adjective							
240	Old High German	bitter	bittar	b i tː a r	1	897	inflection	n.sg.masculine	0	bʰei̯d	0	b i tː a r	adjective		n.sg.	masculine				
241	Old High German	bitter	bittres	b i tː r e s̺	0	239	inflection	g.sg.masculine	42	bʰei̯d	0	b i tː r e s̺	adjective		g.sg.	masculine				
242	Indo-European	?	bʰid-tó-	bʱ i d t ˈɔ	0	182	derivation	zero-grade, suffix: t ˈɔ	0	bʰei̯d	1		substantive			neuter				
243	Indo-European	?	bʰidtóm	bʱ i d t ˈɔ m	0	242	inflection	n.sg.	43	bʰei̯d	0	bʱ i d t ˈɔ m	substantive		n.sg.	neuter				
244	Old Indic	Abschnitt, Trennwand	bhitta-	bʱ i tː ɐ	0	242	inheritance	inheritance	0	bʰei̯d	1		substantive			neuter				
245	Old Indic	Abschnitt, Trennwand	bhittam	bʱ i tː ɐ m	1	244	inflection	n.sg.	43	bʰei̯d	0	bʱ i - tː ɐ m	substantive		n.sg.	neuter				
246	Latin	spalten	finde-	f i n d ɛ	0				0	bʰei̯d	1		verb							
247	Latin	gespalten	fīssus	f iː sː ʊ s	1	941	inflection	ppp n.sg.masculine	0	bʰei̯d	0	f iː sː ʊ s	ppp		n.sg.	masculine				
249	Latin	Spalt	fīsso-	f iː sː ɔ	0	242	inheritance	inheritance	0	bʰei̯d	1		substantive			neuter				
250	Latin	Spalt	fīssum	f iː sː ʊ m	1	249	inflection	n.sg.	43	bʰei̯d	0	f iː - sː ʊ m	substantive		n.sg.	neuter				
251	Indo-European	sich anvertrauen, Vertrauen fassen	bʰei̯dʰ-	bʱ ɛi̯ dʱ	0				0	bʰei̯dʰ	1		root							
252	Indo-European	?	bʰei̯dʰ-oi̯-	bʱ ɛi̯ dʱ ɔi̯	0	251	suffixation	suffix: ɔi̯	0	bʰei̯dʰ	1		substantive			feminine	?		?	
253	Indo-European	?	bʰei̯dʰōi̯	bʱ ɛi̯ dʱ ɔːi̯	0	252	inflection	n.sg.	45	bʰei̯dʰ	0	bʱ ɛi̯ dʱ ɔːi̯	substantive		n.sg.	feminine	?		?	
254	Greek	Überredungskunst (Göttername)	Πειθόι-	p eː θ ˈɔi̯	0	252	inheritance	inheritance	0	bʰei̯dʰ	1		substantive			feminine				
255	Greek	Überredungskunst (Göttername)	Πειθώ	p eː θ ˈɔː	1	254	inflection	n.sg.	45	bʰei̯dʰ	0	p eː θ ˈɔː	substantive		n.sg.	feminine				
256	Indo-European	?	bʰidʰ-ti-	bʱ i dʱ t i	0	251	derivation	zero-grade, suffix: t i	0	bʰei̯dʰ	1		substantive			feminine				
257	Indo-European	?	bʰidʰtis	bʱ i dʱ t i s	0	256	inflection	n.sg.	46	bʰei̯dʰ	0	bʱ i dʱ t i s	substantive		n.sg.	feminine				
258	Greek	Treue, Vertrauen, Bürgschaft	πίστι-	p ˈɪ s t ɪ	0	256	inheritance	inheritance	0	bʰei̯dʰ	1		substantive			feminine		[	[	
259	Greek	Treue, Vertrauen, Bürgschaft	πίστις	p ˈɪ s t ɪ s	1	258	inflection	n.sg.	46	bʰei̯dʰ	0	p ˈɪ s t ɪ s	substantive		n.sg.	feminine		[	[	
260	Indo-European	?	bʰei̯dʰ-ih₂-	bʱ ɛi̯ dʱ i χ	0	251	suffixation	suffix: i χ	0	bʰei̯dʰ	1		substantive			feminine	?		?	
261	Indo-European	?	bʰei̯dʰih₂	bʱ ɛi̯ dʱ i χ	0	260	inflection	n.sg.	47	bʰei̯dʰ	0	bʱ ɛi̯ dʱ i χ	substantive		n.sg.	feminine	?		?	
262	Greek	(im) Gehorsam	πείση-	p eː s ɛː	0	260	inheritance	inheritance	0	bʰei̯dʰ	1		substantive							
263	Greek	(im) Gehorsam	πείσῃ	p eː s ɛː	0	262	inflection	d.sg.	47	bʰei̯dʰ	0	p eː s ɛː -	substantive		d.sg.					
264	Greek	(im) Gehorsam	ἐν πείσῃ	ɛ n # p eː s ɛː	1	262	syntax	embedding in prepositional phrase	0	bʰei̯dʰ	1		noun phrase							
265	Indo-European	?	bʰei̯dʰ-es-	bʱ ɛi̯ dʱ ɛ s	0	251	suffixation	suffix: ɛ s	0	bʰei̯dʰ	1		substantive			neuter				
266	Indo-European	?	bʰei̯dʰes	bʱ ɛi̯ dʱ ɛ s	0	265	inflection	n.sg.	48	bʰei̯dʰ	0	bʱ ɛi̯ dʱ ɛ s	substantive		n.sg.	neuter				
267	Greek	?	-πείθη-	p eː θ ɛː	0	265	inheritance	inheritance	0	bʰei̯dʰ	1		substantive							
268	Greek	?	πείθης	p eː θ ɛː s	0	267	inflection	n.sg.	48	bʰei̯dʰ	0	p eː θ ɛː s	substantive		n.sg.					
269	Greek	(Personenname)	Εὐ-πείθη-	ɛu̯ p eː θ ˈɛː	0	271	derivation	conversion to substantive	0	bʰei̯dʰ	1		substantive							
270	Greek	(Personenname)	Εὐπείθης	ɛu̯ p eː θ ˈɛː s	1	269	inflection	n.sg.	0	bʰei̯dʰ	0	ɛu̯ p eː θ ˈɛː s	substantive		n.sg.	masculine				
271	Greek	leicht überredbar	εὐ-πειθή-	ɛu̯ p eː θ ˈɛː	0	267	prefixation	prefix: ɛu̯	0	bʰei̯dʰ	1		adjective							
272	Greek	leicht überredbar	εὐπειθής	ɛu̯ p eː θ ˈɛː s	0	271	inflection	n.sg.masculine	0	bʰei̯dʰ	0	ɛu̯ p eː θ ˈɛː s	adjective		n.sg.	masculine				
273	Greek	nicht überzeugend, ungehorsam	ἀ-πειθή-	a p eː θ ˈɛː	0	267	prefixation	prefix: a	0	bʰei̯dʰ	1		adjective							
274	Greek	nicht überzeugend, ungehorsam	ἀπειθής	a p eː θ ˈɛː s	1	273	inflection	n.sg.masculine	0	bʰei̯dʰ	0	a p eː θ ˈɛː s	adjective		n.sg.	masculine				
275	Old Latin	Bündnis	fīder-	f iː d ɛ ɾ	0	265	inheritance	inheritance	0	bʰei̯dʰ	1		substantive	k		neuter				
276	Old Latin	Bündnis	fīdus	f iː d ʊ s	1	275	inflection	n.sg.	48	bʰei̯dʰ	0	f iː d ʊ s	substantive	k	n.sg.	neuter				
277	Indo-European	?	bʰidʰ-o-	bʱ i dʱ ɔ	0	251	derivation	zero-grade, suffix: ɔ	0	bʰei̯dʰ	1		substantive			neuter				
278	Indo-European	?	bʰidʰom	bʱ i dʱ ɔ m	0	277	inflection	n.sg.	49	bʰei̯dʰ	0	bʱ i dʱ ɔ m	substantive		n.sg.	neuter				
279	Germanic	?	bid-a-	β i ð a	0	277	inheritance	inheritance	0	bʰei̯dʰ	1		substantive			neuter				
280	Germanic	?	bidan	β i ð a n	0	279	inflection	n.sg.	49	bʰei̯dʰ	0	β i ð a n	substantive		n.sg.	neuter				
281	Indo-European	?	bʰei̯dʰ-o-	bʱ ɛi̯ dʱ ɔ	0	251	suffixation	suffix: ɔ	0	bʰei̯dʰ	1		adjective							
282	Indo-European	?	bʰei̯dʰos	bʱ ɛi̯ dʱ ɔ s	0	281	inflection	n.sg.masculine	50	bʰei̯dʰ	0	bʱ ɛi̯ dʱ ɔ s	adjective		n.sg.	masculine				
283	Latin	vertrauenswürdig, treu	fīdo-	f iː d ɔ	0	281	inheritance	inheritance	0	bʰei̯dʰ	1		adjective							
284	Latin	vertrauenswürdig, treu	fīdus	f iː d ʊ s	1	283	inflection	n.sg.masculine	50	bʰei̯dʰ	0	f iː d ʊ s	adjective		n.sg.	masculine				
285	Greek	leicht überredend	πειθό-	p eː θ ˈɔ	0	281	inheritance	inheritance	0	bʰei̯dʰ	1		adjective							
286	Greek	leicht überredend	πειθός	p eː θ ˈɔ s	1	285	inflection	n.sg.masculine	50	bʰei̯dʰ	0	p eː θ ˈɔ s	adjective		n.sg.	masculine				
287	Indo-European	?	bʰoi̯dʰ-áh₂-	bʱ ɔi̯ dʱ ˈa χ	0	251	derivation	o-grade, suffix: ˈa χ	0	bʰei̯dʰ	1		substantive			feminine				
288	Indo-European	?	bʰoi̯dʰáh₂	bʱ ɔi̯ dʱ ˈa χ	0	287	inflection	n.sg.	51	bʰei̯dʰ	0	bʱ ɔi̯ dʱ ˈa χ	substantive		n.sg.	feminine				
289	Germanic	?	baidō-	β ai̯ ð ɔː	0	287	inheritance	inheritance	0	bʰei̯dʰ	1		substantive			feminine				
290	Germanic	?	baidō	β ai̯ ð ɔː	0	289	inflection	n.sg.	51	bʰei̯dʰ	0	β ai̯ ð ɔː -	substantive		n.sg.	feminine				
291	Old High German	Zögern, Erwarten	bīta-	b iː t a	0	289	inheritance	inheritance	0	bʰei̯dʰ	1		substantive			feminine		[	[	
292	Old High German	Zögern, Erwarten	bīta	b iː t a	1	291	inflection	n.sg.	51	bʰei̯dʰ	0	b iː t a -	substantive		n.sg.	feminine		[	[	
293	Old High German	Zögern, Erwarten	bītan-	b iː t a n	0	291	derivation	inflection class change	0	bʰei̯dʰ	1		substantive	n		feminine		[	[	
294	Old High German	Zögern, Erwarten	bīta	b iː t a	1	293	inflection	n.sg.	0	bʰei̯dʰ	0	b iː t a	substantive	n	n.sg.	feminine		[	[	
295	Indo-European	?	bʰidʰ-tó-	bʱ i dʱ t ˈɔ	0	251	derivation	zero-grade, suffix: t ˈɔ	0	bʰei̯dʰ	1		adjective							
296	Indo-European	?	bʰidʰtós	bʱ i dʱ t ˈɔ s	0	295	inflection	n.sg.masculine	52	bʰei̯dʰ	0	bʱ i dʱ t ˈɔ s	adjective		n.sg.	masculine				
297	Greek	treu, zuverlässig, glaubwürdig	πιστό-	p ɪ s t ˈɔ	0	295	inheritance	inheritance	0	bʰei̯dʰ	1		adjective					[	[	
298	Greek	treu, zuverlässig, glaubwürdig	πιστός	p ɪ s t ˈɔ s	1	297	inflection	n.sg.masculine	52	bʰei̯dʰ	0	p ɪ s t ˈɔ s	adjective		n.sg.	masculine		[	[	
299	Latin	vertrauen (Perfekt)	fīde-	f iː d ɛ	0				0	bʰei̯dʰ	1		verb					[	[	
300	Latin	vertrauen (Perfekt)	fistus	f ɪ s t ʊ s	0	944	inflection	ppp n.sg.masculine	0	bʰei̯dʰ	0	f ɪ s t ʊ s	ppp		n.sg.	masculine		[	[	
301	Latin	vertrauen (Perfekt)	fīso-	f iː s ɔ	0	944	analogy	analogy: 944	0	bʰei̯dʰ	1		ppp							
302	Latin	vertrauen (Perfekt)	fīsus	f iː s ʊ s	0	301	inflection	ppp n.sg.masculine	0	bʰei̯dʰ	0	f iː s ʊ s	ppp		n.sg.	masculine		[	[	
303	Indo-European	dicht, fest machen	bʰenǵʰ-	bʱ ɛ n gʱ	0				0	bʰenǵʰ	1		root							
304	Indo-European	?	bʰn̩ǵʰ-on-	bʱ n̩ gʱ ɔ n	0	303	derivation	zero-grade, suffix: ɔ n	0	bʰenǵʰ	1		substantive			masculine	?		?	
305	Indo-European	?	bʰn̩ǵʰōn	bʱ n̩ gʱ ɔː n	0	304	inflection	n.sg.	53	bʰenǵʰ	0	bʱ - n̩ gʱ ɔː n	substantive		n.sg.	masculine	?		?	
306	Old High German	Bachbunge	bungo-	b u ŋ g o	0	304	inheritance	inheritance	0	bʰenǵʰ	1		substantive			masculine				
307	Old High German	Bachbunge	bungo	b u ŋ g o	1	306	inflection	n.sg.	53	bʰenǵʰ	0	b u ŋ g o -	substantive		n.sg.	masculine				
308	Indo-European	?	bʰn̩ǵʰ-ú-	bʱ n̩ gʱ ˈu	0	303	derivation	zero-grade, suffix: ˈu	0	bʰenǵʰ	1		adjective							
309	Indo-European	?	bʰn̩ǵʰús	bʱ n̩ gʱ ˈu s	0	308	inflection	n.sg.masculine	54	bʰenǵʰ	0	bʱ n̩ gʱ ˈu s	adjective		n.sg.	masculine				
310	Vedic	viel, reichlich, häufig, dicht, dichtgedrängt	bahú-	b ɐ ɦ ˈu	0	308	inheritance	inheritance	0	bʰenǵʰ	1		adjective							
311	Vedic	viel, reichlich, häufig, dicht, dichtgedrängt	bahúḥ	b ɐ ɦ ˈu h	1	310	inflection	n.sg.masculine	54	bʰenǵʰ	0	b ɐ ɦ ˈu h	adjective		n.sg.	masculine				
312	Greek	dick, feist, dicht, gedrungen	παχύ-	p a kʰ ˈʏ	0	308	inheritance	inheritance	0	bʰenǵʰ	1		adjective							
313	Greek	dick, feist, dicht, gedrungen	παχύς	p a kʰ ˈʏ s	1	312	inflection	n.sg.	54	bʰenǵʰ	0	p a kʰ ˈʏ s	adjective		n.sg.	masculine				
314	Indo-European	?	bʰn̩ǵʰ-u-ló-	bʱ n̩ gʱ u l ˈɔ	0	303	derivation	zero-grade, suffix: u l ˈɔ	0	bʰenǵʰ	1		adjective							
315	Indo-European	?	bʰn̩ǵʰulós	bʱ n̩ gʱ u l ˈɔ s	0	314	inflection	n.sg.masculine	55	bʰenǵʰ	0	bʱ n̩ gʱ u l ˈɔ s	adjective		n.sg.	masculine				
316	Vedic	dick, weit, ausgedehnt, viel	bahulá-	b ɐ ɦ u l ˈɐ	0	314	inheritance	inheritance via borrowing from another dialect	0	bʰenǵʰ	1		adjective							
317	Vedic	dick, weit, ausgedehnt, viel	bahuláḥ	b ɐ ɦ u l ˈɐ h	1	316	inflection	n.sg.masculine	0	bʰenǵʰ	0	b ɐ ɦ u l ˈɐ h	adjective		n.sg.	masculine				
318	Vedic	dick, weit, ausgedehnt, viel	bahura-	b ɐ ɦ u ɾ ɐ	0	314	inheritance	inheritance	0	bʰenǵʰ	1		adjective							
319	Vedic	dick, weit, ausgedehnt, viel	bahuraḥ	b ɐ ɦ u ɾ ɐ h	1	318	inflection	n.sg.masculine	55	bʰenǵʰ	0	b ɐ ɦ u ɾ ɐ h	adjective		n.sg.	masculine				
320	Greek	in groben Zügen	παχυλό-	p a kʰ ʏ l ˈɔ	0	314	inheritance	inheritance	0	bʰenǵʰ	1		adjective							
321	Greek	in groben Zügen	παχυλός	p a kʰ ʏ l ˈɔ s	0	320	inflection	n.sg.masculine	55	bʰenǵʰ	0	p a kʰ ʏ l ˈɔ s	adjective		n.sg.	masculine				
322	Greek	in groben Zügen	παχυλῶς-	p a kʰ ʏ l ˈɔː s	0	320	derivation	ˈɔː s-adverb	0	bʰenǵʰ	1		adverb							
323	Indo-European	?	bʰénǵʰ-es-	bʱ ˈɛ n gʱ ɛ s	0	303	suffixation	suffix: ɛ s	0	bʰenǵʰ	1		substantive			neuter				
324	Indo-European	?	bʰénǵʰes	bʱ ˈɛ n gʱ ɛ s	0	323	inflection	n.sg.	56	bʰenǵʰ	0	bʱ ˈɛ n gʱ ɛ s	substantive		n.sg.	neuter				
325	Greek	Dicke, Stärke, Wucht	πέγχος-	p ˈɛ ŋ kʰ ɔ s	0	323	inheritance	inheritance	0	bʰenǵʰ	1		substantive			neuter		[	[	
326	Greek	Dicke, Stärke, Wucht	πέγχος	p ˈɛ ŋ kʰ ɔ s	0	325	inflection	n.sg.	56	bʰenǵʰ	0	p ˈɛ ŋ kʰ ɔ s	substantive		n.sg.	neuter		[	[	
327	Greek	Dicke, Stärke, Wucht	πάχος-	p ˈa kʰ ɔ s	0	325	analogy	analogy: 312	0	bʰenǵʰ	1		substantive			neuter		[	[	
328	Greek	Dicke, Stärke, Wucht	πάχος	p ˈa kʰ ɔ s	1	327	inflection	n.sg.	0	bʰenǵʰ	0	p ˈa kʰ ɔ s	substantive		n.sg.	neuter		[	[	
329	Indo-European	?	bʰénǵʰ-i̯es-	bʱ ˈɛ n gʱ j ɛ s	0	303	suffixation	suffix: j ɛ s	0	bʰenǵʰ	1		adjective							
330	Indo-European	?	bʰénǵʰi̯ōn	bʱ ˈɛ n gʱ j ɔː n	0	329	inflection	n.sg.masculine	57	bʰenǵʰ	0	bʱ ˈɛ n gʱ - j ɔː n	adjective		n.sg.	masculine				irregular alternative form due to mix with -i̯en-stems, see Brugmann2009, 403
